Task,Sub-task,Specific Question,"Regexes over OpenIE Templates ([X] is disease, [B] is a break between subject/relation/object)","Regexes [X]=disease, [Y]=target. Current implementation specifies this cannot start with or end with [Y] because then the span of the target is not obvious.",Regex Suffix,Regex Type (whether to return [Y] only or the whole string)
"568: transmission, incubation, and environmental stability","Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.",What is the incubation period of COVID-19?,,"incubation period of [X] is [Y] days
[X] has an incubation period of [Y] days
[X] .* incubation period of [Y] days",days,yonly
"568: transmission, incubation, and environmental stability","Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.",How long individuals are contagious?,,"[X].* contagious [Y] days
contagious [Y] days.*[X]",days,yonly
"568: transmission, incubation, and environmental stability","Prevalence of asymptomatic shedding and transmission (e.g., particularly children).",Asymptomatic shedding of COVID-19?,asymptomatic.*shed,,,
"568: transmission, incubation, and environmental stability",Seasonality of transmission.,What is the seasonality of transmission?,season,,,
"568: transmission, incubation, and environmental stability","Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).",Adhesion to various surfaces?,adhesion,,,
"568: transmission, incubation, and environmental stability","Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).",,,,,
"568: transmission, incubation, and environmental stability","Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).",Survival on surfaces?,"survived on
survives in
survives differently in
typically survives in","[X],? can survive on [Y] for",,
"568: transmission, incubation, and environmental stability",Natural history of the virus and shedding of it from an infected person,,,,,
"568: transmission, incubation, and environmental stability",Implementation of diagnostics and products to improve clinical processes,What are diagnostics?,diagnostics,,,
"568: transmission, incubation, and environmental stability","Disease models, including animal models for infection, disease and transmission",,,,,
"568: transmission, incubation, and environmental stability",Tools and studies to monitor phenotypic change and potential adaptation of the virus （用于监测病毒表型变化和潜在适应的工具和研究）,,,,,
"568: transmission, incubation, and environmental stability",Immune response and immunity,What are characteristics of immune response?,immune response,,,
"568: transmission, incubation, and environmental stability",Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings,What is the relationship with movement control?,movement control,,,
"568: transmission, incubation, and environmental stability",Effectiveness of personal protective equipment (PPE) and its usefulness to reduce risk of transmission in health care and community settings,What is the effect of personal protective equipment?,"personal protective equipment
PPE",,,
,Role of the environment in transmission,What are environmental survival conditions?,,"[Y] have been shown to enhance [X] survivability outside
[Y] which were optimal for [X] to survive on",,
